,precision,recall,f1-score,support
0,1.0,1.0,1.0,82.0
1,1.0,1.0,1.0,98.0
2,1.0,1.0,1.0,79.0
3,1.0,1.0,1.0,91.0
4,1.0,1.0,1.0,83.0
5,1.0,1.0,1.0,105.0
6,1.0,1.0,1.0,84.0
7,1.0,1.0,1.0,81.0
8,0.9529411764705882,1.0,0.9759036144578314,81.0
9,1.0,0.9620253164556962,0.9806451612903225,79.0
10,1.0,0.9873417721518988,0.9936305732484076,79.0
11,1.0,1.0,1.0,82.0
12,1.0,1.0,1.0,78.0
13,1.0,1.0,1.0,76.0
14,1.0,1.0,1.0,74.0
accuracy,0.9968051118210862,0.9968051118210862,0.9968051118210862,0.9968051118210862
macro avg,0.9968627450980392,0.9966244725738397,0.9966786232664374,1252.0
weighted avg,0.996955459500094,0.9968051118210862,0.996817872044444,1252.0
