SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-03-49,802.11g/n,-84,29,29.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:32:19,29,29,802.11d/e/i/r,No,4,30.2%,FR,,2
,5C-5A-C7-0C-55-EB,802.11n/ac,-60,82,82.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:12:47,82,82,802.11d/e/h/i/r,No,5,32.9%,FR,,5
,A6-3D-4F-30-F1-61,802.11g/n,-88,20,20.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,,20,20,802.11d/h/i,No,,,FR,,
,5C-5A-C7-0C-55-E4,802.11g/n,-61,82,82.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,10,75.7%,FR,,5
,84-B2-61-08-E9-36,802.11n/ac,-60,82,82.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,26/02/2025 10:30:08,82,82,802.11d/e/i/r,No,24,9.0%,FR,,3
,84-B2-61-08-E9-39,802.11g/n,-69,70,70.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:36:10,70,70,802.11d/e/i/r,No,0,49.4%,FR,,3
dlinkCapsec,14-D6-4D-33-03-02,802.11g/n,-90,16,16.0,"2,437",6,316,18,D-Link International,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,130 Mbps,20 MHz,4 - 8,Infrastructure,Configured,14/03/2025 11:03:42,14/03/2025 11:03:42,1,19/12/2024 15:03:02,16,16,802.11i,No,,,,,
eduroam,84-B2-61-08-E9-32,802.11g/n,-70,67,67.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:36:10,67,67,802.11d/e/i/r,No,0,56.9%,FR,,3
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-63,81,81.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,26/02/2025 10:30:08,81,81,802.11d/e/i/r,No,25,3.9%,FR,,3
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-65,80,80.0,"5,200",40,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:12:47,80,80,802.11d/e/h/i/r,No,4,25.9%,FR,,5
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-62,81,81.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:03:42,14/03/2025 11:03:42,1,18/07/2023 09:12:38,81,81,802.11d/e/h/i/r,No,10,75.7%,FR,,5
