SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-08-E9-39,802.11g/n,-83,31,31.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:36:10,31,31,802.11d/e/i/r,No,0,60.0%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-69,70,70.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,26/02/2025 10:30:08,70,70,802.11d/e/i/r,No,24,3.5%,FR,,2
,A6-3D-4F-30-F1-61,802.11g/n,-89,18,18.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,,18,18,802.11d/h/i,No,,,FR,,
,84-B2-61-15-03-49,802.11g/n,-77,46,46.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:32:19,46,46,802.11d/e/i/r,No,2,27.1%,FR,,3
,5C-5A-C7-0C-55-E4,802.11g/n,-58,83,83.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:12:38,83,83,802.11d/e/h/i/r,No,7,38.8%,FR,,1
,5C-5A-C7-0C-55-EB,802.11n/ac,-63,81,81.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:12:47,81,81,802.11d/e/h/i/r,No,10,2.7%,FR,,1
DIRECT-fYPCEMMAYTTY,46-FA-66-7D-D5-61,802.11n/ac,-86,24,24.0,"5,240",48,323,14,,Windows,PCEMMA,WPA2-PSK,CCMP,1733 Mbps,40 MHz,42 - 50,Infrastructure,Configured,14/03/2025 11:46:49,14/03/2025 11:46:49,1,14/03/2025 11:46:16,24,24,802.11i,No,,,,,
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-58,83,83.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:12:38,83,83,802.11d/e/h/i/r,No,7,38.8%,FR,,1
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-62,81,81.0,"5,320",64,275,20,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:12:47,81,81,802.11d/e/h/i/r,No,10,80.8%,FR,,1
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-71,65,65.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,26/02/2025 10:30:08,65,65,802.11d/e/i/r,No,24,2.7%,FR,,2
eduroam,84-B2-61-15-03-42,802.11g/n,-77,46,46.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:32:19,46,46,802.11d/e/i/r,No,2,28.6%,FR,,3
eduroam,84-B2-61-08-E9-32,802.11g/n,-74,57,57.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:36:10,57,57,802.11d/e/i/r,No,0,58.8%,FR,,2
OPPO A9 2020,9E-16-4B-28-28-A1,802.11g/n/ac,-83,31,31.0,"2,437",6,193,16,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,02/02/2025 20:18:25,31,31,802.11i/y,No,,,,,
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-57,84,84.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:12:38,84,84,802.11d/e/h,No,7,38.8%,FR,,1
UTT,84-B2-61-08-E9-31,802.11g/n,-75,53,53.0,"2,437",6,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:36:10,53,53,802.11d/e,No,0,58.8%,FR,,2
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-63,81,81.0,"5,320",64,234,18,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:12:47,81,81,802.11d/e/h,No,10,80.8%,FR,,1
UTT,84-B2-61-15-03-41,802.11g/n,-78,43,43.0,"2,412",1,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,18/07/2023 09:32:19,43,43,802.11d/e,No,2,28.6%,FR,,3
UTT,84-B2-61-08-E9-3E,802.11n/ac,-71,65,65.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:46:49,14/03/2025 11:46:49,1,26/02/2025 10:30:08,65,65,802.11d/e,No,24,2.7%,FR,,2
