,precision,recall,f1-score,support
0,1.0,1.0,1.0,93.0
1,1.0,1.0,1.0,112.0
2,1.0,1.0,1.0,85.0
3,1.0,0.9807692307692307,0.9902912621359223,104.0
4,1.0,1.0,1.0,92.0
5,1.0,1.0,1.0,114.0
6,0.978021978021978,1.0,0.9888888888888889,89.0
7,1.0,1.0,1.0,87.0
8,1.0,1.0,1.0,91.0
9,1.0,1.0,1.0,87.0
10,1.0,1.0,1.0,87.0
11,1.0,1.0,1.0,94.0
12,1.0,1.0,1.0,93.0
13,1.0,1.0,1.0,92.0
14,1.0,1.0,1.0,89.0
accuracy,0.9985805535841022,0.9985805535841022,0.9985805535841022,0.9985805535841022
macro avg,0.9985347985347985,0.9987179487179486,0.9986120100683208,1409.0
weighted avg,0.9986117502086275,0.9985805535841022,0.9985815488809417,1409.0
