,precision,recall,f1-score,support
0,1.0,1.0,1.0,63.0
1,1.0,1.0,1.0,56.0
2,1.0,1.0,1.0,46.0
3,0.9818181818181818,0.9818181818181818,0.9818181818181818,55.0
4,1.0,0.9811320754716981,0.9904761904761905,53.0
5,0.96875,0.9841269841269841,0.9763779527559056,63.0
6,1.0,1.0,1.0,51.0
7,1.0,1.0,1.0,53.0
8,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0
9,0.96,0.9795918367346939,0.9696969696969697,49.0
10,1.0,1.0,1.0,48.0
11,1.0,1.0,1.0,53.0
12,1.0,1.0,1.0,44.0
13,1.0,1.0,1.0,51.0
14,1.0,1.0,1.0,51.0
accuracy,0.9923371647509579,0.9923371647509579,0.9923371647509579,0.9923371647509579
macro avg,0.99258860342556,0.9922743924441464,0.9924074153487413,783.0
weighted avg,0.9924003970237104,0.9923371647509579,0.9923449190316139,783.0
