SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-85,26,26.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:37:21,26,26,802.11d/e/i/r,No,7,0.8%,FR,,1
,5C-5A-C7-28-72-0B,802.11n/ac,-84,29,29.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:21:05,29,29,802.11d/e/h/i/r,No,15,5.9%,FR,,3
,5C-5A-C7-36-31-49,802.11g/n,-83,31,31.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:15:14,31,31,802.11d/e/h/i/r,No,13,12.9%,FR,,5
,5C-5A-C7-28-87-04,802.11g/n,-80,38,38.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:11:42,38,38,802.11d/e/h/i/r,No,10,54.9%,FR,,3
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-87,22,22.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,,22,22,802.11d/h/i,No,,,FR,,
,84-B2-61-15-36-34,802.11g/n,-89,18,18.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:37:38,18,18,802.11d/e/i/r,No,0,78.0%,FR,,1
,5C-5A-C7-28-72-04,802.11g/n,-84,29,29.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:25:25,29,29,802.11d/e/h/i/r,No,7,88.6%,FR,,3
,84-B2-61-15-03-49,802.11g/n,-78,43,43.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:32:19,43,43,802.11d/e/i/r,No,1,14.5%,FR,,2
,84-B2-61-08-E9-39,802.11g/n,-64,80,80.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:36:10,80,80,802.11d/e/i/r,No,0,49.0%,FR,,7
,5C-5A-C7-0C-55-EB,802.11n/ac,-50,88,88.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:12:47,88,88,802.11d/e/h/i/r,No,1,0.8%,FR,,4
,84-B2-61-08-E9-36,802.11n/ac,-60,82,82.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,26/02/2025 10:30:08,82,82,802.11d/e/i/r,No,15,6.7%,FR,,7
,5C-5A-C7-0C-55-E4,802.11g/n,-61,82,82.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,5,66.7%,FR,,4
eduroam,5C-5A-C7-28-87-01,802.11g/n,-79,40,40.0,"2,412",1,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:11:42,40,40,802.11d/e/h/i/r,No,10,54.9%,FR,,3
eduroam,84-B2-61-15-36-31,802.11g/n,-85,26,26.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:37:38,26,26,802.11d/e/i/r,No,0,76.1%,FR,,1
eduroam,5C-5A-C7-28-87-0E,802.11n/ac,-87,22,22.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:11:51,22,22,802.11d/e/h/i/r,No,12,2.7%,FR,,3
eduroam,84-B2-61-15-36-3E,802.11n/ac,-82,33,33.0,"5,200",40,233,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:37:21,33,33,802.11d/e/i/r,No,6,0.8%,FR,,1
eduroam,5C-5A-C7-28-72-0E,802.11n/ac,-84,29,29.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:21:05,29,29,802.11d/e/h/i/r,No,15,5.9%,FR,,3
eduroam,84-B2-61-15-03-42,802.11g/n,-85,26,26.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,1,12.9%,FR,,2
eduroam,5C-5A-C7-36-31-42,802.11g/n,-82,33,33.0,"2,437",6,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:15:14,33,33,802.11d/e/h/i/r,No,13,12.9%,FR,,5
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-92,13,13.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:43:00,13,13,802.11d/e/i/r,No,0,43.5%,FR,,
eduroam,5C-5A-C7-28-72-01,802.11g/n,-81,35,35.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:25:25,35,35,802.11d/e/h/i/r,No,7,92.9%,FR,,3
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-60,82,82.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,26/02/2025 10:30:08,82,82,802.11d/e/i/r,No,15,14.9%,FR,,7
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-52,87,87.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:12:47,87,87,802.11d/e/h/i/r,No,1,11.0%,FR,,4
eduroam,84-B2-61-08-E9-32,802.11g/n,-65,80,80.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:36:10,80,80,802.11d/e/i/r,No,0,42.4%,FR,,7
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-49,88,88.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:12:38,88,88,802.11d/e/h/i/r,No,5,63.9%,FR,,4
ras,62-16-73-1C-57-73,802.11g/n/ac,-90,16,16.0,"2,462",11,216,18,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,13/03/2025 00:33:37,16,16,802.11d/i/y,No,,,FR,,
S25 de dradog,6A-73-E3-58-BB-39,802.11g/n/ac,-94,10,10.0,"2,462",11,228,19,,,,WPA2-PSK,CCMP,780 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,14/02/2025 23:59:04,10,10,802.11d/i/y,No,,,FR,,
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-49,88,88.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:12:38,88,88,802.11d/e/h,No,5,63.9%,FR,,4
UTT,84-B2-61-08-E9-31,802.11g/n,-64,80,80.0,"2,437",6,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:36:10,80,80,802.11d/e,No,0,42.4%,FR,,7
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-52,87,87.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:12:47,87,87,802.11d/e/h,No,1,11.0%,FR,,4
UTT,84-B2-61-15-03-41,802.11g/n,-86,24,24.0,"2,437",6,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:32:19,24,24,802.11d/e,No,1,12.9%,FR,,2
UTT,5C-5A-C7-28-87-00,802.11g/n,-78,43,43.0,"2,412",1,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:11:43,43,43,802.11d/e/h,No,10,54.9%,FR,,3
UTT,5C-5A-C7-28-72-0F,802.11n/ac,-84,29,29.0,"5,260",52,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:21:05,29,29,802.11d/e/h,No,15,5.9%,FR,,3
UTT,84-B2-61-15-36-3F,802.11n/ac,-79,40,40.0,"5,200",40,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:37:21,40,40,802.11d/e,No,6,0.8%,FR,,1
UTT,84-B2-61-08-E9-3E,802.11n/ac,-61,82,82.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,26/02/2025 10:30:08,82,82,802.11d/e,No,15,14.9%,FR,,7
UTT,84-B2-61-15-36-30,802.11g/n,-86,24,24.0,"2,412",1,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:37:05,14/03/2025 17:37:05,1,18/07/2023 09:37:38,24,24,802.11d/e,No,0,76.1%,FR,,1
