SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-78,43,43.0,"5,200",40,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:37:21,43,43,802.11d/e/i/r,No,6,1.2%,FR,,1
,5C-5A-C7-36-31-49,802.11g/n,-89,18,18.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:15:14,18,18,802.11d/e/h/i/r,No,15,11.0%,FR,,9
,5C-5A-C7-28-72-0B,802.11n/ac,-83,31,31.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:21:05,31,31,802.11d/e/h/i/r,No,18,4.7%,FR,,3
,5C-5A-C7-0C-55-EB,802.11n/ac,-53,86,86.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:12:47,86,86,802.11d/e/h/i/r,No,1,2.0%,FR,,5
,5C-5A-C7-28-87-04,802.11g/n,-82,33,33.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:11:43,33,33,802.11d/e/h/i/r,No,10,67.8%,FR,,3
,E4-AA-5D-3E-CE-E9,802.11g/n,-86,24,24.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:32:55,24,24,802.11d/e/i/r,No,2,29.4%,FR,,4
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-79,40,40.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,,40,40,802.11d/h/i,No,,,FR,,
,5C-5A-C7-28-87-0B,802.11n/ac,-84,29,29.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:11:51,29,29,802.11d/e/h/i/r,No,14,4.7%,FR,,3
,00-27-E3-27-93-D4,802.11g/n,-91,14,14.0,"2,462",11,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 10:51:11,14,14,802.11d/e/i/r,No,2,58.0%,FR,,6
,84-B2-61-15-36-34,802.11g/n,-80,38,38.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:20:00,14/03/2025 17:20:00,1,18/07/2023 09:37:38,38,38,802.11d/e/i/r,No,0,80.0%,FR,,1
