,precision,recall,f1-score,support
0,0.07667731629392971,1.0,0.142433234421365,48.0
1,0.0,0.0,0.0,42.0
2,0.0,0.0,0.0,32.0
3,0.0,0.0,0.0,45.0
4,0.0,0.0,0.0,43.0
5,0.0,0.0,0.0,53.0
6,0.0,0.0,0.0,32.0
7,0.0,0.0,0.0,45.0
8,0.0,0.0,0.0,37.0
9,0.0,0.0,0.0,44.0
10,0.0,0.0,0.0,44.0
11,0.0,0.0,0.0,38.0
12,0.0,0.0,0.0,38.0
13,0.0,0.0,0.0,42.0
14,0.0,0.0,0.0,43.0
accuracy,0.07667731629392971,0.07667731629392971,0.07667731629392971,0.07667731629392971
macro avg,0.005111821086261981,0.06666666666666667,0.009495548961424332,626.0
weighted avg,0.005879410834039338,0.07667731629392971,0.010921398166494439,626.0
