SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-82,33,33.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:37:21,33,33,802.11d/e/i/r,No,7,0.8%,FR,,1
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-84,29,29.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,433 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,,29,29,802.11d/h/i,No,,,FR,,
,E4-AA-5D-3E-E7-54,802.11g/n,-83,31,31.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:43:00,31,31,802.11d/e/i/r,No,0,47.8%,FR,,8
,84-B2-61-08-E9-36,802.11n/ac,-46,90,90.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,26/02/2025 10:30:08,90,90,802.11d/e/i/r,No,15,3.5%,FR,,7
,5C-5A-C7-28-87-04,802.11g/n,-83,31,31.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:11:42,31,31,802.11d/e/h/i/r,No,10,71.8%,FR,,3
,E4-AA-5D-3E-CE-E9,802.11g/n,-89,18,18.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:32:55,18,18,802.11d/e/i/r,No,2,27.1%,FR,,4
,5C-5A-C7-28-72-04,802.11g/n,-81,35,35.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:25:25,35,35,802.11d/e/h/i/r,No,6,37.6%,FR,,3
,5C-5A-C7-28-87-0B,802.11n/ac,-84,29,29.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:11:51,29,29,802.11d/e/h/i/r,No,13,8.6%,FR,,3
,5C-5A-C7-28-72-0B,802.11n/ac,-82,33,33.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:21:05,33,33,802.11d/e/h/i/r,No,18,6.7%,FR,,3
,84-B2-61-15-36-34,802.11g/n,-82,33,33.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:37:38,33,33,802.11d/e/i/r,No,0,80.4%,FR,,1
,84-B2-61-15-03-49,802.11g/n,-83,31,31.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:32:19,31,31,802.11d/e/i/r,No,0,16.9%,FR,,2
,84-B2-61-08-E9-39,802.11g/n,-53,86,86.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:36:10,86,86,802.11d/e/i/r,No,0,72.5%,FR,,7
,E4-AA-5D-3E-E7-5B,802.11n/ac,-85,26,26.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,12/03/2025 08:12:21,26,26,802.11d/e/i/r,No,19,32.2%,FR,,8
,5C-5A-C7-0C-55-E4,802.11g/n,-64,80,80.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,5,22.7%,FR,,5
,5C-5A-C7-0C-55-EB,802.11n/ac,-60,82,82.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:12:47,82,82,802.11d/e/h/i/r,No,1,2.0%,FR,,5
eduroam,84-B2-61-15-36-31,802.11g/n,-82,33,33.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:37:38,33,33,802.11d/e/i/r,No,0,80.4%,FR,,1
eduroam,5C-5A-C7-28-87-01,802.11g/n,-89,18,18.0,"2,412",1,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:15:55,14/03/2025 17:15:55,1,18/07/2023 09:11:42,18,18,802.11d/e/h/i/r,No,10,72.9%,FR,,3
