SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-08-E9-39,802.11g/n,-71,65,65.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:36:10,65,65,802.11d/e/i/r,No,0,59.2%,FR,,1
,5C-5A-C7-28-87-04,802.11g/n,-89,18,18.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:11:42,18,18,802.11d/e/h/i/r,No,11,53.7%,FR,,3
,5C-5A-C7-0C-55-EB,802.11n/ac,-72,62,62.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:12:47,62,62,802.11d/e/h/i/r,No,1,0.8%,FR,,6
,E4-AA-5D-3E-CE-E9,802.11g/n,-80,38,38.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:32:55,38,38,802.11d/e/i/r,No,0,27.1%,FR,,5
,5C-5A-C7-0C-55-E4,802.11g/n,-77,46,46.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:12:38,46,46,802.11d/e/h/i/r,No,5,33.7%,FR,,6
,84-B2-61-15-03-49,802.11g/n,-85,26,26.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,2,20.4%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-54,86,86.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,26/02/2025 10:30:08,86,86,802.11d/e/i/r,No,1,0.0%,FR,,1
,E4-AA-5D-3E-E7-5B,802.11n/ac,-80,38,38.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,12/03/2025 08:12:21,38,38,802.11d/e/i/r,No,22,10.2%,FR,,4
,E4-AA-5D-3E-E7-54,802.11g/n,-88,20,20.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:43:00,20,20,802.11d/e/i/r,No,2,49.8%,FR,,4
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-75,53,53.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:12:38,53,53,802.11d/e/h/i/r,No,5,35.7%,FR,,6
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-72,62,62.0,"5,320",64,275,20,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:12:47,62,62,802.11d/e/h/i/r,No,1,0.8%,FR,,6
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-86,24,24.0,"2,412",1,208,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:43:00,24,24,802.11d/e/i/r,No,2,49.8%,FR,,4
eduroam,5C-5A-C7-28-87-0E,802.11n/ac,-86,24,24.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:11:51,24,24,802.11d/e/h/i/r,No,130,13.7%,FR,,3
eduroam,E4-AA-5D-3E-CE-E2,802.11g/n,-80,38,38.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:32:55,38,38,802.11d/e/i/r,No,0,27.1%,FR,,5
eduroam,84-B2-61-15-03-42,802.11g/n,-88,20,20.0,"2,437",6,208,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:32:19,20,20,802.11d/e/i/r,No,2,16.1%,FR,,2
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-58,83,83.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,26/02/2025 10:30:08,83,83,802.11d/e/i/r,No,1,0.0%,FR,,1
eduroam,5C-5A-C7-28-87-01,802.11g/n,-86,24,24.0,"2,412",1,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:11:42,24,24,802.11d/e/h/i/r,No,11,60.8%,FR,,3
eduroam,E4-AA-5D-3E-E7-5E,802.11n/ac,-80,38,38.0,"5,200",40,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,12/03/2025 08:12:21,38,38,802.11d/e/i/r,No,22,8.2%,FR,,4
eduroam,84-B2-61-08-E9-32,802.11g/n,-73,60,60.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:36:10,60,60,802.11d/e/i/r,No,0,56.9%,FR,,1
iPhone,3E-EE-68-89-7E-F0,802.11g/n,-95,8,8.0,"2,437",6,212,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,,8,8,802.11d/h/i,No,,,FR,,
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-74,57,57.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:12:47,57,57,802.11d/e/h,No,1,0.8%,FR,,6
UTT,5C-5A-C7-28-87-0F,802.11n/ac,-86,24,24.0,"5,260",52,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:11:51,24,24,802.11d/e/h,No,130,13.7%,FR,,3
UTT,E4-AA-5D-3E-CE-E1,802.11g/n,-81,35,35.0,"2,412",1,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:32:55,35,35,802.11d/e,No,0,27.1%,FR,,5
UTT,84-B2-61-15-03-41,802.11g/n,-88,20,20.0,"2,437",6,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,18/07/2023 09:32:19,20,20,802.11d/e,No,2,28.2%,FR,,2
UTT,E4-AA-5D-3E-E7-5F,802.11n/ac,-80,38,38.0,"5,200",40,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 15:44:33,14/03/2025 15:44:33,1,12/03/2025 08:12:21,38,38,802.11d/e,No,22,8.2%,FR,,4
