,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
