,precision,recall,f1-score,support
0,1.0,0.746268656716418,0.8547008547008547,67.0
1,1.0,1.0,1.0,71.0
2,1.0,1.0,1.0,56.0
3,0.0,0.0,0.0,67.0
4,1.0,1.0,1.0,66.0
5,0.46835443037974683,1.0,0.6379310344827587,74.0
6,1.0,1.0,1.0,63.0
7,1.0,1.0,1.0,61.0
8,1.0,1.0,1.0,59.0
9,1.0,1.0,1.0,58.0
10,1.0,1.0,1.0,56.0
11,1.0,1.0,1.0,68.0
12,1.0,1.0,1.0,58.0
13,1.0,1.0,1.0,56.0
14,1.0,1.0,1.0,59.0
accuracy,0.9105431309904153,0.9105431309904153,0.9105431309904153,0.9105431309904153
macro avg,0.8978902953586498,0.9164179104477611,0.8995087926122409,939.0
weighted avg,0.8867499764090535,0.9105431309904153,0.889746383191354,939.0
