SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-08-E9-39,802.11g/n,-71,65,65.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,18/07/2023 09:36:10,65,65,802.11d/e/i/r,No,0,51.8%,FR,,2
,12-3E-58-F5-F2-0B,802.11n/ac/ax,-76,50,50.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,,50,50,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-36,802.11n/ac,-67,75,75.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,26/02/2025 10:30:08,75,75,802.11d/e/i/r,No,19,4.3%,FR,,2
,5C-5A-C7-0C-55-E4,802.11g/n,-67,75,75.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,18/07/2023 09:12:38,75,75,802.11d/e/h/i/r,No,7,40.8%,FR,,3
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-79,40,40.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,,40,40,802.11d/h/i,No,,,FR,,
,5C-5A-C7-0C-55-EB,802.11n/ac,-63,81,81.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,18/07/2023 09:12:47,81,81,802.11d/e/h/i/r,No,16,28.6%,FR,,3
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-66,78,78.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,18/07/2023 09:12:38,78,78,802.11d/e/h/i/r,No,7,40.8%,FR,,3
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-68,72,72.0,"5,240",48,233,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,26/02/2025 10:30:08,72,72,802.11d/e/i/r,No,19,4.3%,FR,,2
eduroam,84-B2-61-08-E9-32,802.11g/n,-72,62,62.0,"2,437",6,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,18/07/2023 09:36:10,62,62,802.11d/e/i/r,No,0,51.8%,FR,,2
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-85,26,26.0,"2,412",1,208,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:21:51,14/03/2025 10:21:51,1,18/07/2023 09:43:00,26,26,802.11d/e/i/r,No,10,61.2%,FR,,1
