,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
