,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
