,precision,recall,f1-score,support
0,1.0,1.0,1.0,31.0
1,1.0,1.0,1.0,30.0
2,1.0,1.0,1.0,25.0
3,1.0,0.8333333333333334,0.9090909090909091,30.0
4,0.8611111111111112,1.0,0.9253731343283582,31.0
5,1.0,1.0,1.0,45.0
6,1.0,1.0,1.0,27.0
7,1.0,1.0,1.0,32.0
8,1.0,1.0,1.0,29.0
9,1.0,1.0,1.0,30.0
10,1.0,1.0,1.0,38.0
11,1.0,1.0,1.0,32.0
12,1.0,1.0,1.0,28.0
13,1.0,1.0,1.0,32.0
14,1.0,1.0,1.0,30.0
accuracy,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276596
macro avg,0.9907407407407407,0.9888888888888889,0.9889642695612845,470.0
weighted avg,0.990839243498818,0.9893617021276596,0.9892750945466093,470.0
