,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,11,0,72,0,0,0,0,0,0,0,0,0,2,0,0
C205,51,0,0,20,1,0,25,0,0,0,6,0,1,0,0
C206,0,0,0,0,5,0,87,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,0,92,0,0,0,19,0,3,0,0
C208,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,0,2,0,0,0,0,85,0,0
Couloir_1,0,0,0,0,0,0,0,0,24,0,0,0,67,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,7,0,0,80,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,48,0,46,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
Escalier_B,0,0,0,0,0,0,2,0,0,0,0,0,0,90,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,32,0,57
