SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-28-87-04,802.11g/n,-83,31,31.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:11:43,31,31,802.11d/e/h/i/r,No,15,65.9%,FR,,6
,E4-AA-5D-3E-E7-5B,802.11n/ac,-85,26,26.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,12/03/2025 08:12:21,26,26,802.11d/e/i/r,No,24,7.8%,FR,,1
,5C-5A-C7-0C-55-EB,802.11n/ac,-73,60,60.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:12:47,60,60,802.11d/e/h/i/r,No,2,2.0%,FR,,5
,5C-5A-C7-0C-55-E4,802.11g/n,-72,62,62.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:12:38,62,62,802.11d/e/h/i/r,No,5,33.7%,FR,,5
,AC-2A-A1-7F-2A-4A,802.11g/n/ax,-85,26,26.0,"2,462",11,265,22,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,14/03/2025 09:54:52,26,26,802.11d/e/h/i/r,No,2,45.9%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-60,82,82.0,"5,240",48,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,26/02/2025 10:30:08,82,82,802.11d/e/i/r,No,1,0.0%,FR,,3
,E4-AA-5D-3E-CE-E9,802.11g/n,-87,22,22.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:32:55,22,22,802.11d/e/i/r,No,0,32.2%,FR,,4
,E4-AA-5D-3E-E7-54,802.11g/n,-82,33,33.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:43:00,33,33,802.11d/e/i/r,No,3,65.1%,FR,,1
Amber's S22,DE-38-F8-8F-7F-F2,802.11g/n/ac,-92,13,13.0,"2,412",1,232,21,,,,WPA2-PSK,CCMP,780 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,12/02/2025 23:10:13,13,13,802.11d/i/u/y,No,,,FR,,
eduroam,84-B2-61-08-E9-32,802.11g/n,-73,60,60.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:36:10,60,60,802.11d/e/i/r,No,1,67.1%,FR,,3
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-64,80,80.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,26/02/2025 10:30:08,80,80,802.11d/e/i/r,No,2,0.4%,FR,,3
eduroam,AC-2A-A1-7F-2A-42,802.11g/n/ax,-84,29,29.0,"2,462",11,252,21,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,14/03/2025 09:54:52,29,29,802.11d/e/h/i/r,No,0,45.9%,FR,,2
eduroam,E4-AA-5D-3E-CE-E2,802.11g/n,-86,24,24.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:32:55,24,24,802.11d/e/i/r,No,0,47.8%,FR,,4
eduroam,5C-5A-C7-28-87-0E,802.11n/ac,-83,31,31.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:11:51,31,31,802.11d/e/h/i/r,No,126,8.6%,FR,,6
eduroam,E4-AA-5D-3E-E7-5E,802.11n/ac,-86,24,24.0,"5,200",40,233,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,12/03/2025 08:12:21,24,24,802.11d/e/i/r,No,24,6.3%,FR,,1
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-82,33,33.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:43:00,33,33,802.11d/e/i/r,No,3,65.1%,FR,,1
eduroam,5C-5A-C7-28-87-01,802.11g/n,-79,40,40.0,"2,412",1,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:11:42,40,40,802.11d/e/h/i/r,No,15,64.7%,FR,,6
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-82,33,33.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:12:38,33,33,802.11d/e/h/i/r,No,5,34.9%,FR,,5
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-79,40,40.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:12:47,40,40,802.11d/e/h/i/r,No,2,2.0%,FR,,5
iPhone,3E-EE-68-89-7E-F0,802.11g/n,-93,11,11.0,"2,437",6,206,16,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,,11,11,802.11d/h/i,No,,,FR,,
Nathksv ,2E-B7-23-74-07-45,802.11g/n/ac,-91,14,14.0,"2,437",6,178,14,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,14/03/2025 15:01:49,14,14,802.11i,No,,,,,
Redmi Note 13 5G,56-D2-CE-A8-FF-03,802.11g/n/ac,-91,14,14.0,"2,462",11,186,14,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,14/03/2025 14:46:46,14,14,802.11i,No,,,,,
Redmi Note 13 Pro 5G,06-6E-E4-8E-0D-B2,802.11g/n/ac,-95,8,8.0,"2,462",11,239,21,,,,WPA2-PSK + WPA3-Personal,CCMP,780 Mbps,40 MHz,7 - 15,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,14/03/2025 06:32:34,8,8,802.11d/i/u/y,No,,,FR,,
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-83,31,31.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:12:38,31,31,802.11d/e/h,No,5,34.9%,FR,,5
UTT,AC-2A-A1-7F-2A-41,802.11g/n/ax,-86,24,24.0,"2,462",11,211,19,"Cisco Systems, Inc",,,,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,14/03/2025 09:54:52,24,24,802.11d/e/h,No,0,45.9%,FR,,2
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-79,40,40.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:12:47,40,40,802.11d/e/h,No,2,2.0%,FR,,5
UTT,E4-AA-5D-3E-CE-E1,802.11g/n,-88,20,20.0,"2,412",1,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 15:10:13,14/03/2025 15:10:13,1,18/07/2023 09:32:55,20,20,802.11d/e,No,0,47.8%,FR,,4
