,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,0,0,0,0,0,0,0,0,80,0,13,0,0,0,0
C203,0,2,0,0,0,0,0,0,110,0,0,0,0,0,0
C204,0,0,0,0,0,0,0,0,5,0,80,0,0,0,0
C205,0,0,0,0,0,0,0,0,5,0,14,85,0,0,0
C206,0,0,0,0,0,0,0,0,33,0,59,0,0,0,0
C207,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0
C208,0,0,0,0,0,0,0,2,60,0,0,23,4,0,0
C210,0,0,0,0,0,0,0,53,32,0,0,0,2,0,0
Couloir_1,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,82,5,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,53,41,0,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,63,1,29,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,1,0,0,91,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
