SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-28-87-0B,802.11n/ac,-86,24,24.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:11:51,24,24,802.11d/e/h/i/r,No,9,0.8%,FR,,2
,5C-5A-C7-0C-55-EB,802.11n/ac,-64,80,80.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:12:47,80,80,802.11d/e/h/i/r,No,20,2.0%,FR,,5
,84-B2-61-08-E9-36,802.11n/ac,-66,78,78.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,26/02/2025 10:30:08,78,78,802.11d/e/i/r,No,22,5.5%,FR,,6
,00-27-E3-27-84-A9,802.11g/n,-93,11,11.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 11:23:12,11,11,802.11d/e/i/r,No,2,57.3%,FR,,
,84-B2-61-15-36-34,802.11g/n,-85,26,26.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:37:38,26,26,802.11d/e/i/r,No,0,74.1%,FR,,1
,84-B2-61-08-E9-39,802.11g/n,-70,67,67.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:36:10,67,67,802.11d/e/i/r,No,0,47.1%,FR,,6
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-63,81,81.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,,81,81,802.11d/h/i,No,,,FR,,
,84-B2-61-15-36-3B,802.11n/ac,-82,33,33.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:37:21,33,33,802.11d/e/i/r,No,7,1.6%,FR,,1
,E4-AA-5D-3E-E7-54,802.11g/n,-70,67,67.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:43:00,67,67,802.11d/e/i/r,No,1,46.3%,FR,,4
,5C-5A-C7-0C-55-E4,802.11g/n,-80,38,38.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:12:38,38,38,802.11d/e/h/i/r,No,5,29.8%,FR,,5
,5C-5A-C7-28-87-04,802.11g/n,-86,24,24.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:11:43,24,24,802.11d/e/h/i/r,No,10,38.8%,FR,,2
,5C-5A-C7-28-72-04,802.11g/n,-77,46,46.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:25:25,46,46,802.11d/e/h/i/r,No,5,44.7%,FR,,2
,E4-AA-5D-3E-CE-E9,802.11g/n,-81,35,35.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:32:55,35,35,802.11d/e/i/r,No,2,35.3%,FR,,3
eduroam,84-B2-61-15-36-31,802.11g/n,-88,20,20.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:37:38,20,20,802.11d/e/i/r,No,0,78.8%,FR,,1
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-65,80,80.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:31:47,14/03/2025 16:31:47,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,5,35.7%,FR,,5
