SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-80,38,38.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:37:21,38,38,802.11d/e/i/r,No,6,0.8%,FR,,1
,5C-5A-C7-28-72-0B,802.11n/ac,-82,33,33.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:21:05,33,33,802.11d/e/h/i/r,No,19,7.8%,FR,,2
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-68,72,72.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,,72,72,802.11d/h/i,No,,,FR,,
,5C-5A-C7-0C-55-EB,802.11n/ac,-59,83,83.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:12:47,83,83,802.11d/e/h/i/r,No,2,3.9%,FR,,4
,E4-AA-5D-3E-CE-E9,802.11g/n,-90,16,16.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:32:55,16,16,802.11d/e/i/r,No,2,28.6%,FR,,3
,E4-AA-5D-3E-E7-5B,802.11n/ac,-85,26,26.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,12/03/2025 08:12:21,26,26,802.11d/e/i/r,No,18,3.5%,FR,,5
,5C-5A-C7-28-87-0B,802.11n/ac,-83,31,31.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:11:51,31,31,802.11d/e/h/i/r,No,13,7.8%,FR,,2
,5C-5A-C7-36-31-49,802.11g/n,-86,24,24.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:15:14,24,24,802.11d/e/h/i/r,No,18,13.7%,FR,,7
,5C-5A-C7-28-72-44,802.11g/n,-92,13,13.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,18/07/2023 09:14:10,13,13,802.11d/e/h/i/r,No,10,27.8%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-40,93,93.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 17:04:23,14/03/2025 17:04:23,1,26/02/2025 10:30:08,93,93,802.11d/e/i/r,No,12,1.2%,FR,,6
