,precision,recall,f1-score,support
0,1.0,1.0,1.0,74.0
1,0.9629629629629629,0.9176470588235294,0.9397590361445783,85.0
2,0.9,0.9545454545454546,0.9264705882352942,66.0
3,1.0,1.0,1.0,81.0
4,1.0,1.0,1.0,74.0
5,1.0,1.0,1.0,91.0
6,1.0,1.0,1.0,75.0
7,1.0,1.0,1.0,74.0
8,1.0,0.9861111111111112,0.993006993006993,72.0
9,0.9852941176470589,1.0,0.9925925925925926,67.0
10,1.0,1.0,1.0,63.0
11,1.0,1.0,1.0,75.0
12,1.0,1.0,1.0,66.0
13,1.0,1.0,1.0,67.0
14,1.0,1.0,1.0,66.0
accuracy,0.989963503649635,0.989963503649635,0.989963503649635,0.989963503649635
macro avg,0.9898838053740014,0.9905535749653397,0.9901219473319639,1096.0
weighted avg,0.9902067132611357,0.989963503649635,0.9899879416934542,1096.0
