,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,35,0,0,0,0,0,0,0,0,0,0,0,0,0,39
C203,0,0,0,0,0,0,26,0,0,0,0,0,0,0,59
C204,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
C205,0,0,0,56,0,0,25,0,0,0,0,0,0,0,0
C206,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
C208,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,71,3,0,0,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,13,0,59,0,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,2,0,0,32,0,0,0,0,33
Couloir_3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,29
Couloir_4,0,0,0,0,0,0,14,0,0,0,0,50,0,0,11
Couloir_5,0,0,0,0,0,0,48,0,0,0,0,0,18,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
