SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-28-72-0B,802.11n/ac,-82,33,33.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:21:05,33,33,802.11d/e/h/i/r,No,17,9.8%,FR,,1
,00-27-E3-27-93-D4,802.11g/n,-89,18,18.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 10:51:11,18,18,802.11d/e/i/r,No,3,54.1%,FR,,4
,5C-5A-C7-36-31-49,802.11g/n,-81,35,35.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:15:14,35,35,802.11d/e/h/i/r,No,17,16.9%,FR,,2
,E4-AA-5D-3E-CE-E9,802.11g/n,-88,20,20.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:32:55,20,20,802.11d/e/i/r,No,2,37.6%,FR,,5
,84-B2-61-15-36-3B,802.11n/ac,-82,33,33.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:37:21,33,33,802.11d/e/i/r,No,7,2.0%,FR,,3
,5C-5A-C7-28-87-04,802.11g/n,-81,35,35.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:11:42,35,35,802.11d/e/h/i/r,No,10,52.9%,FR,,1
,84-B2-61-08-E9-39,802.11g/n,-73,60,60.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:36:10,60,60,802.11d/e/i/r,No,0,71.8%,FR,,8
,5C-5A-C7-28-72-04,802.11g/n,-78,43,43.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:25:25,43,43,802.11d/e/h/i/r,No,5,42.0%,FR,,1
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-69,70,70.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,,70,70,802.11d/h/i,No,,,FR,,
,5C-5A-C7-28-87-0B,802.11n/ac,-79,40,40.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:11:51,40,40,802.11d/e/h/i/r,No,11,2.0%,FR,,1
,84-B2-61-08-E9-36,802.11n/ac,-56,85,85.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,26/02/2025 10:30:08,85,85,802.11d/e/i/r,No,21,3.9%,FR,,8
,84-B2-61-15-36-34,802.11g/n,-85,26,26.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:37:38,26,26,802.11d/e/i/r,No,0,85.9%,FR,,3
,5C-5A-C7-0C-55-E4,802.11g/n,-69,70,70.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:12:38,70,70,802.11d/e/h/i/r,No,6,34.9%,FR,,6
,00-27-E3-27-84-A9,802.11g/n,-91,14,14.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 11:23:12,14,14,802.11d/e/i/r,No,0,43.1%,FR,,
,E4-AA-5D-3E-E7-54,802.11g/n,-81,35,35.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:42:20,14/03/2025 16:42:20,1,18/07/2023 09:43:00,35,35,802.11d/e/i/r,No,0,54.5%,FR,,7
