Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Precision,F1_Score
KNN_k10_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
KNN_k10_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
KNN_k10_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
KNN_k44_wifi_rssi_data_50_clean,,,0.9968051118210862,0.9969930464198459,0.9968145571667741
KNN_k44_wifi_rssi_data_95_clean,,,0.9984025559105432,0.998437282955966,0.9984037261992533
KNN_kNone_wifi_rssi_data_100,,,,,
KNN_kNone_wifi_rssi_data_100_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_20,,,,,
KNN_kNone_wifi_rssi_data_20_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_50,,,,,
KNN_kNone_wifi_rssi_data_50_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_80,,,,,
KNN_kNone_wifi_rssi_data_80_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_95,,,,,
KNN_kNone_wifi_rssi_data_95_ap_completed,,,,,
NN_wifi_rssi_data_100,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_100_ap_completed,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_100_clean,1.0,1.0,1.0,1.0,1.0
NN_wifi_rssi_data_20,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_20_ap_completed,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_20_clean,0.9989350372736954,0.9776357827476039,0.9776357827476039,0.9807294753733393,0.9774601662980258
NN_wifi_rssi_data_50,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_50_ap_completed,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_50_clean,0.9978700745473909,0.9968051118210862,0.9968051118210862,0.9968756542238971,0.9968047944085061
NN_wifi_rssi_data_80,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_80_ap_completed,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_80_clean,1.0,1.0,1.0,1.0,1.0
NN_wifi_rssi_data_95,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_95_ap_completed,0.055378061767838126,0.07667731629392971,0.07667731629392971,0.005879410834039338,0.010921398166494439
NN_wifi_rssi_data_95_clean,0.9989350372736954,0.8562300319488818,0.8562300319488818,0.937016979819418,0.8454800773003627
RF_n10_wifi_rssi_data_100_ap_completed,,,1.0,1.0,1.0
RF_n20_wifi_rssi_data_50_ap_completed,,,1.0,1.0,1.0
RF_n20_wifi_rssi_data_95,,,1.0,1.0,1.0
RF_n30_wifi_rssi_data_80,,,0.9968051118210862,0.9969930464198459,0.9968172136702488
RF_n3_wifi_rssi_data_100,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_50_clean,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
RF_n500_wifi_rssi_data_20,,,0.9920127795527156,0.9920548175550699,0.992014248466821
RF_n500_wifi_rssi_data_50,,,0.9952076677316294,0.9954251846283421,0.9951809134018662
RF_n5_wifi_rssi_data_20_ap_completed,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_80_ap_completed,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_95_ap_completed,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_95_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100,,,,,
SVM_wifi_rssi_data_100_ap_completed,,,,,
SVM_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_20,,,,,
SVM_wifi_rssi_data_20_ap_completed,,,,,
SVM_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_50,,,,,
SVM_wifi_rssi_data_50_ap_completed,,,,,
SVM_wifi_rssi_data_50_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_80,,,,,
SVM_wifi_rssi_data_80_ap_completed,,,,,
SVM_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_95,,,,,
SVM_wifi_rssi_data_95_ap_completed,,,,,
SVM_wifi_rssi_data_95_clean,,,1.0,1.0,1.0
