,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,25,0,0,0,0,0,19,0,0,0,2,0,0,21,0
C203,0,8,0,0,0,0,2,0,0,0,61,0,0,0,0
C204,0,0,55,0,0,0,0,0,0,0,1,0,0,0,0
C205,0,0,0,12,0,0,21,0,0,0,34,0,0,0,0
C206,0,0,0,0,24,0,0,0,0,0,40,2,0,0,0
C207,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
C208,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,0,0,31,0,27,1,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,44,14,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
