SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-15-36-3B,802.11n/ac,-75,53,53.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:37:21,53,53,802.11d/e/i/r,No,6,1.2%,FR,,1
,5C-5A-C7-28-72-0B,802.11n/ac,-80,38,38.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:21:05,38,38,802.11d/e/h/i/r,No,18,6.7%,FR,,3
,5C-5A-C7-28-72-04,802.11g/n,-79,40,40.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:25:25,40,40,802.11d/e/h/i/r,No,5,87.8%,FR,,3
,5C-5A-C7-28-87-04,802.11g/n,-87,22,22.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:11:43,22,22,802.11d/e/h/i/r,No,11,65.9%,FR,,3
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-82,33,33.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,433 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,,33,33,802.11d/h/i,No,,,FR,,
,84-B2-61-15-36-34,802.11g/n,-84,29,29.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:37:38,29,29,802.11d/e/i/r,No,0,75.3%,FR,,1
,5C-5A-C7-0C-55-E4,802.11g/n,-48,89,89.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:12:38,89,89,802.11d/e/h/i/r,No,5,83.9%,FR,,6
,5C-5A-C7-28-87-0B,802.11n/ac,-86,24,24.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:11:51,24,24,802.11d/e/h/i/r,No,12,2.7%,FR,,3
,84-B2-61-15-03-49,802.11g/n,-85,26,26.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:32:19,26,26,802.11d/e/i/r,No,0,27.1%,FR,,2
,84-B2-61-08-E9-39,802.11g/n,-61,82,82.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 17:29:19,14/03/2025 17:29:19,1,18/07/2023 09:36:10,82,82,802.11d/e/i/r,No,0,45.5%,FR,,7
