,precision,recall,f1-score,support
0,1.0,0.4117647058823529,0.5833333333333334,17.0
1,0.0,0.0,0.0,23.0
2,0.0,0.0,0.0,16.0
3,1.0,1.0,1.0,20.0
4,1.0,0.045454545454545456,0.08695652173913043,22.0
5,1.0,1.0,1.0,23.0
6,1.0,1.0,1.0,20.0
7,1.0,1.0,1.0,23.0
8,0.152,1.0,0.2638888888888889,19.0
9,1.0,0.36,0.5294117647058824,25.0
10,1.0,0.4838709677419355,0.6521739130434783,31.0
11,1.0,1.0,1.0,22.0
12,1.0,0.5833333333333334,0.7368421052631579,12.0
13,0.9583333333333334,1.0,0.9787234042553191,23.0
14,1.0,1.0,1.0,17.0
accuracy,0.65814696485623,0.65814696485623,0.65814696485623,0.65814696485623
macro avg,0.8073555555555557,0.658961570160811,0.6554219954152793,313.0
weighted avg,0.8208615548455804,0.65814696485623,0.6602205367950209,313.0
