SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,84-B2-61-08-E9-36,802.11n/ac,-70,67,67.0,"5,240",48,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,26/02/2025 10:30:08,67,67,802.11d/e/i/r,No,19,3.5%,FR,,1
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-83,31,31.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,433 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,,31,31,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-39,802.11g/n,-89,18,18.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:36:10,18,18,802.11d/e/i/r,No,1,51.8%,FR,,1
,5C-5A-C7-0C-55-E4,802.11g/n,-77,46,46.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:38,46,46,802.11d/e/h/i/r,No,7,32.9%,FR,,2
,5C-5A-C7-0C-55-EB,802.11n/ac,-52,87,87.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:47,87,87,802.11d/e/h/i/r,No,15,42.7%,FR,,2
,12-3E-58-F5-F2-0B,802.11n/ac/ax,-82,33,33.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,,33,33,802.11d/h/i,No,,,FR,,
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-78,43,43.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:38,43,43,802.11d/e/h/i/r,No,7,32.9%,FR,,2
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-57,84,84.0,"5,200",40,275,20,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:47,84,84,802.11d/e/h/i/r,No,15,42.0%,FR,,2
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-74,57,57.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,26/02/2025 10:30:08,57,57,802.11d/e/i/r,No,20,4.3%,FR,,1
eduroam,84-B2-61-08-E9-32,802.11g/n,-91,14,14.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:36:10,14,14,802.11d/e/i/r,No,0,50.2%,FR,,1
UTT,84-B2-61-08-E9-31,802.11g/n,-90,16,16.0,"2,437",6,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:36:10,16,16,802.11d/e,No,0,50.2%,FR,,1
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-57,84,84.0,"5,200",40,234,18,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:47,84,84,802.11d/e/h,No,15,42.0%,FR,,2
UTT,84-B2-61-08-E9-3E,802.11n/ac,-74,57,57.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,26/02/2025 10:30:08,57,57,802.11d/e,No,20,4.3%,FR,,1
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-77,46,46.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:38,46,46,802.11d/e/h,No,7,32.9%,FR,,2
UTTetudiants,5C-5A-C7-0C-55-E2,802.11g/n,-76,50,50.0,"2,462",11,200,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:38,50,50,802.11d/e/h/i/r,No,7,32.9%,FR,,2
UTTetudiants,5C-5A-C7-0C-55-ED,802.11n/ac,-59,85,85.0,"5,200",40,281,20,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:47,85,85,802.11d/e/h/i/r,Yes,16,33.7%,FR,,2
UTTetudiants,84-B2-61-08-E9-37,802.11n/ac,-90,16,36.5,"2,437",6,230,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,2,18/07/2023 09:36:10,16,57,802.11d/e/i/r,No,20,4.3%,FR,,1
UTTpersonnels,5C-5A-C7-0C-55-E3,802.11g/n,-77,46,46.0,"2,462",11,201,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:38,46,46,802.11d/e/h/i/r,No,7,32.9%,FR,,2
UTTpersonnels,5C-5A-C7-0C-55-EC,802.11n/ac,-59,83,83.0,"5,200",40,275,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,1,18/07/2023 09:12:47,83,83,802.11d/e/h/i/r,No,15,42.0%,FR,,2
UTTpersonnels,84-B2-61-08-E9-38,802.11n/ac,-89,18,25.5,"2,437",6,235,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 10:24:04,14/03/2025 10:24:04,2,18/07/2023 09:36:10,18,33,802.11d/e/i/r,No,20,3.9%,FR,,1
