,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,0,106,6,0,0,0,0,0,0,0,0,0,0,0,0
C204,1,2,82,0,0,0,0,0,0,0,0,0,0,0,0
C205,0,0,0,90,1,4,9,0,0,0,0,0,0,0,0
C206,0,0,0,0,90,2,0,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,110,4,0,0,0,0,0,0,0,0
C208,0,0,0,0,5,1,83,0,0,0,0,0,0,0,0
C210,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
Couloir_1,1,0,1,0,0,0,0,0,80,9,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,42,52,0,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
