SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,E4-AA-5D-3E-CE-E9,802.11g/n,-79,40,40.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:32:55,40,40,802.11d/e/i/r,No,3,32.5%,FR,,2
,84-B2-61-15-03-49,802.11g/n,-83,31,31.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:32:19,31,31,802.11d/e/i/r,No,3,27.8%,FR,,4
,5C-5A-C7-0C-55-E4,802.11g/n,-61,82,82.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:12:38,82,82,802.11d/e/h/i/r,No,7,43.9%,FR,,5
,E4-AA-5D-3E-E7-54,802.11g/n,-83,31,31.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:43:00,31,31,802.11d/e/i/r,No,5,73.3%,FR,,3
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-90,16,16.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,,16,16,802.11d/h/i,No,,,FR,,
,A6-3D-4F-30-F1-61,802.11g/n,-73,60,60.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,,60,60,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-39,802.11g/n,-68,72,72.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:36:10,72,72,802.11d/e/i/r,No,1,58.0%,FR,,6
,5C-5A-C7-0C-55-EB,802.11n/ac,-58,83,83.0,"5,200",40,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:12:47,83,83,802.11d/e/h/i/r,No,11,16.9%,FR,,5
AndroidAP9667,E6-56-AC-44-87-FD,802.11g/n/ac,-92,13,13.0,"2,437",6,228,19,,,,WPA2-PSK,CCMP,780 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,09/03/2025 21:52:08,13,13,802.11d/i/y,No,,,FR,,
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-84,29,29.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 10:47:04,14/03/2025 10:47:04,1,18/07/2023 09:43:00,29,29,802.11d/e/i/r,No,4,75.7%,FR,,3
