,precision,recall,f1-score,support
0,0.08045977011494253,1.0,0.14893617021276595,63.0
1,0.0,0.0,0.0,56.0
2,0.0,0.0,0.0,46.0
3,0.0,0.0,0.0,55.0
4,0.0,0.0,0.0,53.0
5,0.0,0.0,0.0,63.0
6,0.0,0.0,0.0,51.0
7,0.0,0.0,0.0,53.0
8,0.0,0.0,0.0,47.0
9,0.0,0.0,0.0,49.0
10,0.0,0.0,0.0,48.0
11,0.0,0.0,0.0,53.0
12,0.0,0.0,0.0,44.0
13,0.0,0.0,0.0,51.0
14,0.0,0.0,0.0,51.0
accuracy,0.08045977011494253,0.08045977011494253,0.08045977011494253,0.08045977011494253
macro avg,0.0053639846743295016,0.06666666666666667,0.009929078014184396,783.0
weighted avg,0.006473774606949399,0.08045977011494253,0.0119833700171191,783.0
