,precision,recall,f1-score,support
0,1.0,1.0,1.0,17.0
1,0.9583333333333334,1.0,0.9787234042553191,23.0
2,1.0,0.875,0.9333333333333333,16.0
3,0.0,0.0,0.0,20.0
4,0.0,0.0,0.0,22.0
5,0.34328358208955223,1.0,0.5111111111111111,23.0
6,1.0,1.0,1.0,20.0
7,1.0,1.0,1.0,23.0
8,1.0,1.0,1.0,19.0
9,1.0,0.96,0.9795918367346939,25.0
10,1.0,1.0,1.0,31.0
11,1.0,1.0,1.0,22.0
12,1.0,1.0,1.0,12.0
13,1.0,1.0,1.0,23.0
14,1.0,1.0,1.0,17.0
accuracy,0.8562300319488818,0.8562300319488818,0.8562300319488818,0.8562300319488818
macro avg,0.8201077943615257,0.8556666666666667,0.8268506456956305,313.0
weighted avg,0.8144958116764421,0.8562300319488818,0.8232885722208579,313.0
