SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-28-72-0B,802.11n/ac,-83,31,31.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:21:05,31,31,802.11d/e/h/i/r,No,17,7.8%,FR,,1
,00-27-E3-27-93-D4,802.11g/n,-90,16,16.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 10:51:11,16,16,802.11d/e/i/r,No,3,56.5%,FR,,2
,5C-5A-C7-36-31-49,802.11g/n,-81,35,35.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:15:14,35,35,802.11d/e/h/i/r,No,17,17.6%,FR,,3
,84-B2-61-15-36-3B,802.11n/ac,-83,31,31.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:37:21,31,31,802.11d/e/i/r,No,8,1.6%,FR,,4
,84-B2-61-08-E9-39,802.11g/n,-68,72,72.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:36:10,72,72,802.11d/e/i/r,No,0,49.0%,FR,,8
,5C-5A-C7-28-87-04,802.11g/n,-74,57,57.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:11:42,57,57,802.11d/e/h/i/r,No,10,71.8%,FR,,1
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-62,81,81.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,,81,81,802.11d/h/i,No,,,FR,,
,5C-5A-C7-28-72-04,802.11g/n,-78,43,43.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:25:25,43,43,802.11d/e/h/i/r,No,6,42.7%,FR,,1
,5C-5A-C7-28-87-0B,802.11n/ac,-79,40,40.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:11:51,40,40,802.11d/e/h/i/r,No,11,3.9%,FR,,1
,5C-5A-C7-0C-55-EB,802.11n/ac,-66,78,78.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:12:47,78,78,802.11d/e/h/i/r,No,21,5.9%,FR,,6
,E4-AA-5D-3E-E7-54,802.11g/n,-85,26,26.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:43:00,26,26,802.11d/e/i/r,No,0,55.7%,FR,,7
,84-B2-61-15-36-34,802.11g/n,-88,20,20.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:37:38,20,20,802.11d/e/i/r,No,0,88.2%,FR,,4
,E4-AA-5D-3E-CE-E9,802.11g/n,-77,46,46.0,"2,412",1,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:32:55,46,46,802.11d/e/i/r,No,2,35.3%,FR,,5
,5C-5A-C7-0C-55-E4,802.11g/n,-69,70,70.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:12:38,70,70,802.11d/e/h/i/r,No,5,29.8%,FR,,6
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-62,81,81.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:12:38,81,81,802.11d/e/h/i/r,No,5,28.6%,FR,,6
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-66,78,78.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:40:08,14/03/2025 16:40:08,1,18/07/2023 09:12:47,78,78,802.11d/e/h/i/r,No,21,2.7%,FR,,6
