,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
