,precision,recall,f1-score,support
0,0.06549520766773163,1.0,0.12293853073463268,82.0
1,0.0,0.0,0.0,98.0
2,0.0,0.0,0.0,79.0
3,0.0,0.0,0.0,91.0
4,0.0,0.0,0.0,83.0
5,0.0,0.0,0.0,105.0
6,0.0,0.0,0.0,84.0
7,0.0,0.0,0.0,81.0
8,0.0,0.0,0.0,81.0
9,0.0,0.0,0.0,79.0
10,0.0,0.0,0.0,79.0
11,0.0,0.0,0.0,82.0
12,0.0,0.0,0.0,78.0
13,0.0,0.0,0.0,76.0
14,0.0,0.0,0.0,74.0
accuracy,0.06549520766773163,0.06549520766773163,0.06549520766773163,0.06549520766773163
macro avg,0.004366347177848775,0.06666666666666667,0.008195902048975513,1252.0
weighted avg,0.004289622227439292,0.06549520766773163,0.008051884600830575,1252.0
