Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Precision,F1_Score
KNN_k10_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
KNN_k10_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
KNN_k10_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
KNN_k26_wifi_rssi_data_50_clean,,,0.9925452609158679,0.9928828887210119,0.9925516622214068
KNN_k33_wifi_rssi_data_95_clean,,,0.9978700745473909,0.9979029125821203,0.9978700233764228
KNN_kNone_wifi_rssi_data_100,,,,,
KNN_kNone_wifi_rssi_data_100_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_20,,,,,
KNN_kNone_wifi_rssi_data_20_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_50,,,,,
KNN_kNone_wifi_rssi_data_50_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_80,,,,,
KNN_kNone_wifi_rssi_data_80_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_95,,,,,
KNN_kNone_wifi_rssi_data_95_ap_completed,,,,,
NN_wifi_rssi_data_100,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_100_ap_completed,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_100_clean,1.0,0.7380191693290735,0.7380191693290735,0.9081376059063623,0.7310488489263532
NN_wifi_rssi_data_20,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_20_ap_completed,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_20_clean,1.0,0.8242811501597445,0.8242811501597445,0.8785466061319432,0.8247776643457693
NN_wifi_rssi_data_50,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_50_ap_completed,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_50_clean,0.9984025559105432,0.9403620873269436,0.9403620873269436,0.958051439882452,0.9188402436043814
NN_wifi_rssi_data_80,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_80_ap_completed,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_80_clean,0.9968051118210862,0.9414270500532481,0.9414270500532481,0.9530868498188614,0.9380823225420143
NN_wifi_rssi_data_95,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_95_ap_completed,0.052715654952076675,0.07135250266240682,0.07135250266240682,0.005091179636188772,0.0095042100961854
NN_wifi_rssi_data_95_clean,0.9984025559105432,0.8572949946751863,0.8572949946751863,0.8853390131345402,0.8504264818939574
RF_n100_wifi_rssi_data_20,,,0.9904153354632588,0.9910201138647,0.9904000208685437
RF_n10_wifi_rssi_data_100_ap_completed,,,1.0,1.0,1.0
RF_n10_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
RF_n10_wifi_rssi_data_80,,,0.9936102236421726,0.9939096943637048,0.9935373076280565
RF_n10_wifi_rssi_data_80_ap_completed,,,1.0,1.0,1.0
RF_n10_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
RF_n10_wifi_rssi_data_95,,,0.9978700745473909,0.9979356107151635,0.997870578791106
RF_n20_wifi_rssi_data_50_ap_completed,,,1.0,1.0,1.0
RF_n20_wifi_rssi_data_50_clean,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_20_ap_completed,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_95_ap_completed,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_95_clean,,,1.0,1.0,1.0
RF_n50_wifi_rssi_data_50,,,0.9925452609158679,0.9928764247421665,0.9924248201848179
RF_n5_wifi_rssi_data_100,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_20,,,0.9925452609158679,0.9927503490397362,0.9925435018049715
SVM_wifi_rssi_data_20_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_50,,,0.9936102236421726,0.993676494005126,0.9936107655879806
SVM_wifi_rssi_data_50_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_50_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_80,,,0.9989350372736954,0.9989506984902587,0.9989353592578909
SVM_wifi_rssi_data_80_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_95,,,0.9989350372736954,0.998951677316294,0.9989352264210626
SVM_wifi_rssi_data_95_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_95_clean,,,1.0,1.0,1.0
