SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,E4-AA-5D-3E-E7-5B,802.11n/ac,-82,33,33.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,12/03/2025 08:12:21,33,33,802.11d/e/i/r,No,10,26.7%,FR,,6
,E4-AA-5D-3E-E7-54,802.11g/n,-78,43,43.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:43:00,43,43,802.11d/e/i/r,No,0,48.2%,FR,,6
,84-B2-61-08-E9-39,802.11g/n,-68,72,72.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:36:10,72,72,802.11d/e/i/r,No,0,52.2%,FR,,4
,5C-5A-C7-0C-55-E4,802.11g/n,-78,43,43.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:12:38,43,43,802.11d/e/h/i/r,No,5,33.7%,FR,,5
,E4-AA-5D-3E-CE-E9,802.11g/n,-87,22,22.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:32:55,22,22,802.11d/e/i/r,No,1,26.3%,FR,,2
,5C-5A-C7-27-30-A9,802.11g/n,-88,20,20.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/03/2024 19:11:39,20,20,802.11d/e/h/i/r,No,7,53.7%,FR,,3
,84-B2-61-08-E9-36,802.11n/ac,-55,85,85.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,26/02/2025 10:30:08,85,85,802.11d/e/i/r,No,14,3.9%,FR,,4
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-76,50,50.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,,50,50,802.11d/h/i,No,,,FR,,
dlinkCapsec,14-D6-4D-33-03-02,802.11g/n,-92,13,13.0,"2,437",6,316,18,D-Link International,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,130 Mbps,20 MHz,4 - 8,Infrastructure,Configured,14/03/2025 16:09:38,14/03/2025 16:09:38,1,14/03/2025 15:25:05,13,13,802.11i,No,,,,,
eduroam,E4-AA-5D-3E-E7-5E,802.11n/ac,-81,35,35.0,"5,200",40,233,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,12/03/2025 08:12:21,35,35,802.11d/e/i/r,No,10,26.7%,FR,,6
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-72,62,62.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:43:00,62,62,802.11d/e/i/r,No,1,50.2%,FR,,6
eduroam,5C-5A-C7-28-87-01,802.11g/n,-88,20,20.0,"2,412",1,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:11:43,20,20,802.11d/e/h/i/r,No,12,47.8%,FR,,1
eduroam,84-B2-61-08-E9-32,802.11g/n,-68,72,72.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:36:10,72,72,802.11d/e/i/r,No,0,52.2%,FR,,4
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-75,53,53.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:12:47,53,53,802.11d/e/h/i/r,No,20,5.9%,FR,,5
eduroam,E4-AA-5D-3E-CE-E2,802.11g/n,-89,18,18.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:32:55,18,18,802.11d/e/i/r,No,1,32.9%,FR,,2
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-78,43,43.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:12:38,43,43,802.11d/e/h/i/r,No,5,33.7%,FR,,5
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-57,84,84.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,26/02/2025 10:30:08,84,84,802.11d/e/i/r,No,17,3.5%,FR,,4
Redmi Note 13 Pro 5G,06-6E-E4-8E-0D-B2,802.11g/n/ac,-67,75,75.0,"2,462",11,223,19,,,,WPA2-PSK + WPA3-Personal,CCMP,780 Mbps,40 MHz,7 - 15,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,14/03/2025 06:32:34,75,75,802.11d/i/u/y,No,,,FR,,
Rrrr,62-3C-90-52-FB-CC,802.11g/n/ax,-92,13,13.0,"2,462",11,264,20,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,14/03/2025 16:07:35,13,13,802.11d/h/i,No,,,FR,,
UTT,84-B2-61-08-E9-31,802.11g/n,-68,72,72.0,"2,437",6,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:36:10,72,72,802.11d/e,No,0,52.2%,FR,,4
UTT,E4-AA-5D-3E-E7-50,802.11g/n,-73,60,60.0,"2,412",1,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:43:00,60,60,802.11d/e,No,1,50.2%,FR,,6
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-75,53,53.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:12:47,53,53,802.11d/e/h,No,20,5.9%,FR,,5
UTT,5C-5A-C7-28-87-00,802.11g/n,-89,18,18.0,"2,412",1,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:11:43,18,18,802.11d/e/h,No,12,47.8%,FR,,1
UTT,E4-AA-5D-3E-CE-E1,802.11g/n,-87,22,22.0,"2,412",1,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:32:55,22,22,802.11d/e,No,1,23.9%,FR,,2
UTT,84-B2-61-08-E9-3E,802.11n/ac,-58,83,83.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,26/02/2025 10:30:08,83,83,802.11d/e,No,17,3.5%,FR,,4
UTT,E4-AA-5D-3E-E7-5F,802.11n/ac,-81,35,35.0,"5,200",40,192,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,12/03/2025 08:12:21,35,35,802.11d/e,No,11,22.0%,FR,,6
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-78,43,43.0,"2,462",11,160,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:09:38,14/03/2025 16:09:38,1,18/07/2023 09:12:38,43,43,802.11d/e/h,No,5,33.7%,FR,,5
