,precision,recall,f1-score,support
0,1.0,1.0,1.0,63.0
1,1.0,1.0,1.0,56.0
2,1.0,1.0,1.0,46.0
3,0.9821428571428571,1.0,0.990990990990991,55.0
4,1.0,1.0,1.0,53.0
5,1.0,0.9841269841269841,0.992,63.0
6,1.0,1.0,1.0,51.0
7,1.0,1.0,1.0,53.0
8,1.0,1.0,1.0,47.0
9,1.0,1.0,1.0,49.0
10,0.96,1.0,0.9795918367346939,48.0
11,1.0,0.9622641509433962,0.9807692307692307,53.0
12,1.0,1.0,1.0,44.0
13,1.0,1.0,1.0,51.0
14,1.0,1.0,1.0,51.0
accuracy,0.9961685823754789,0.9961685823754789,0.9961685823754789,0.9961685823754789
macro avg,0.9961428571428572,0.9964260756713587,0.9962234705663277,783.0
weighted avg,0.9962935595694217,0.9961685823754789,0.9961707303940474,783.0
