,precision,recall,f1-score,support
0,1.0,1.0,1.0,63.0
1,1.0,1.0,1.0,56.0
2,1.0,1.0,1.0,46.0
3,1.0,1.0,1.0,55.0
4,1.0,1.0,1.0,53.0
5,1.0,1.0,1.0,63.0
6,1.0,1.0,1.0,51.0
7,1.0,1.0,1.0,53.0
8,1.0,1.0,1.0,47.0
9,1.0,1.0,1.0,49.0
10,1.0,1.0,1.0,48.0
11,1.0,1.0,1.0,53.0
12,1.0,1.0,1.0,44.0
13,1.0,1.0,1.0,51.0
14,1.0,1.0,1.0,51.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,783.0
weighted avg,1.0,1.0,1.0,783.0
