,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,56,0,26,0,0,0,0,0,0,0,0,0,0,0,0
C203,0,89,9,0,0,0,0,0,0,0,0,0,0,0,0
C204,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
C205,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0
C206,0,0,6,0,77,0,0,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0
C208,0,0,28,0,0,0,0,0,0,0,0,0,0,56,0
C210,0,0,55,0,0,0,0,26,0,0,0,0,0,0,0
Couloir_1,0,0,13,0,0,0,0,0,0,0,0,0,0,68,0
Couloir_2,0,0,33,0,0,0,0,0,0,46,0,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
Couloir_5,0,0,3,0,0,0,0,0,0,0,54,4,17,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
