SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,00-27-E3-27-B4-49,802.11g/n,-90,16,16.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:39:49,16,16,802.11d/e/i/r,No,0,22.7%,FR,,1
,E4-AA-5D-3E-E7-54,802.11g/n,-87,22,22.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:43:00,22,22,802.11d/e/i/r,No,6,52.5%,FR,,7
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-72,62,62.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,,62,62,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-39,802.11g/n,-78,43,43.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:36:10,43,43,802.11d/e/i/r,No,1,58.4%,FR,,3
,A6-3D-4F-30-F1-61,802.11g/n,-94,10,10.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,,10,10,802.11d/h/i,No,,,FR,,
,84-B2-61-15-03-49,802.11g/n,-86,24,24.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:32:19,24,24,802.11d/e/i/r,No,5,24.7%,FR,,6
,5C-5A-C7-0C-55-E4,802.11g/n,-69,70,70.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:12:38,70,70,802.11d/e/h/i/r,No,7,37.6%,FR,,4
,5C-5A-C7-28-72-04,802.11g/n,-89,18,18.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:25:25,18,18,802.11d/e/h/i/r,No,4,40.8%,FR,,9
,84-B2-61-15-36-3B,802.11n/ac,-86,24,24.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:37:21,24,24,802.11d/e/i/r,No,26,13.7%,FR,,8
,5C-5A-C7-27-30-A9,802.11g/n,-81,35,35.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/03/2024 19:11:39,35,35,802.11d/e/h/i/r,No,7,68.6%,FR,,5
eduroam,5C-5A-C7-28-72-01,802.11g/n,-88,20,20.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:25:25,20,20,802.11d/e/h/i/r,No,4,40.8%,FR,,9
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-75,53,53.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,26/02/2025 10:30:08,53,53,802.11d/e/i/r,No,24,11.0%,FR,,3
eduroam,84-B2-61-15-36-3E,802.11n/ac,-85,26,26.0,"5,200",40,230,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:37:21,26,26,802.11d/e/i/r,No,27,8.2%,FR,,8
eduroam,84-B2-61-15-03-42,802.11g/n,-87,22,22.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:32:19,22,22,802.11d/e/i/r,No,4,26.7%,FR,,6
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-84,29,29.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:43:00,29,29,802.11d/e/i/r,No,9,67.8%,FR,,7
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-70,67,67.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:12:38,67,67,802.11d/e/h/i/r,No,7,37.6%,FR,,4
eduroam,00-27-E3-27-B4-42,802.11g/n,-88,20,20.0,"2,462",11,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:39:49,20,20,802.11d/e/i/r,No,0,22.4%,FR,,1
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-71,65,65.0,"5,200",40,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:12:47,65,65,802.11d/e/h/i/r,No,11,22.0%,FR,,4
eduroam,84-B2-61-08-E9-32,802.11g/n,-81,35,35.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:36:10,35,35,802.11d/e/i/r,No,0,57.6%,FR,,3
eduroam,84-B2-61-1F-B6-B2,802.11g/n,-85,26,26.0,"2,412",1,208,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/03/2024 19:14:05,26,26,802.11d/e/i/r,No,5,37.6%,FR,,2
Julie,76-8C-B4-0B-42-F8,802.11n/ac/ax,-92,13,13.0,"5,200",40,364,22,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,,13,13,802.11d/h/i,No,,,FR,,
OPPO A9 2020,9E-16-4B-28-28-A1,802.11g/n/ac,-91,14,14.0,"2,437",6,193,16,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,02/02/2025 20:18:25,14,14,802.11i/y,No,,,,,
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-70,67,67.0,"2,462",11,160,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:12:38,67,67,802.11d/e/h,No,7,37.6%,FR,,4
UTT,84-B2-61-08-E9-3E,802.11n/ac,-75,53,53.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,26/02/2025 10:30:08,53,53,802.11d/e,No,24,11.0%,FR,,3
UTT,E4-AA-5D-3E-E7-50,802.11g/n,-84,29,29.0,"2,412",1,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:43:00,29,29,802.11d/e,No,6,53.7%,FR,,7
UTT,84-B2-61-08-E9-31,802.11g/n,-83,31,31.0,"2,437",6,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:36:10,31,31,802.11d/e,No,0,57.6%,FR,,3
UTT,00-27-E3-27-B4-41,802.11g/n,-87,22,22.0,"2,462",11,164,16,"Cisco Systems, Inc",,,,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:27:00,14/03/2025 11:27:00,1,18/07/2023 09:39:49,22,22,802.11d/e,No,0,24.3%,FR,,1
